name,price_usd,description,rating,review_count,product_url,source_url,scraped_at
Asus VivoBook X441NA-GA190,295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,14,https://webscraper.io/test-sites/e-commerce/allinone/product/60,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Prestigio SmartBook 133S Dark Grey,299.0,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",2,8,https://webscraper.io/test-sites/e-commerce/allinone/product/61,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Prestigio SmartBook 133S Gold,299.0,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",4,12,https://webscraper.io/test-sites/e-commerce/allinone/product/62,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Aspire E1-510,306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",3,2,https://webscraper.io/test-sites/e-commerce/allinone/product/32,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Lenovo V110-15IAP,321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,5,https://webscraper.io/test-sites/e-commerce/allinone/product/63,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Lenovo V110-15IAP,356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",2,6,https://webscraper.io/test-sites/e-commerce/allinone/product/64,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Hewlett Packard 250 G6 Dark Ash Silver,364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",1,12,https://webscraper.io/test-sites/e-commerce/allinone/product/65,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Acer Aspire 3 A315-31 Black,372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2,2,https://webscraper.io/test-sites/e-commerce/allinone/product/66,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Acer Aspire A315-31-C33J,379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",2,0,https://webscraper.io/test-sites/e-commerce/allinone/product/67,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Acer Aspire ES1-572 Black,379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",4,9,https://webscraper.io/test-sites/e-commerce/allinone/product/68,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Acer Aspire 3 A315-31 Black,391.48,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10,https://webscraper.io/test-sites/e-commerce/allinone/product/69,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Acer Aspire 3 A315-21,393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",3,9,https://webscraper.io/test-sites/e-commerce/allinone/product/70,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
Asus VivoBook Max,399.0,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",1,4,https://webscraper.io/test-sites/e-commerce/allinone/product/45,https://webscraper.io/test-sites/e-commerce/allinone/computers/laptops,2026-06-30 23:10:00.790111
